"economy"	"economycode"	"wpid_random"	"wgt"	"female"	"age"	"educ"	"inc_q"	"account"	"account_fin"	"account_mob"	"q2"	"q3"	"q4"	"q5"	"q6"	"q8a"	"q8b"	"q8c"	"q8d"	"q8e"	"q8f"	"q8g"	"q8h"	"q8i"	"q9"	"q10"	"q11"	"q12"	"q13"	"q14"	"q16"	"q17a"	"q17b"	"q17c"	"q18a"	"q18b"	"q20"	"q21a"	"q21b"	"q21c"	"q21d"	"q22a"	"q22b"	"q22c"	"q24"	"q25"	"q26"	"q27a"	"q27b"	"q27c"	"q27d"	"q28"	"q29a"	"q29b"	"q29c"	"q29d"	"q30"	"q31a"	"q31b"	"q31c"	"q32"	"q33a"	"q33b"	"q33c"	"q34"	"q35"	"q36a"	"q36bc"	"q36d"	"q37"	"q38"	"q39"	"q40a"	"q40bc"	"q40d"	"q41"	"q42"	"q43"	"q44a"	"q44b"	"q44c"	"saved"	"borrowed"
"Mexico"	"MEX"	139007821	0.629110915128006	"2 female"	"24"	"completed tertiary or more"	"5 richest 20%"	"yes"	"yes"	"no"	"no"			"no"											"no"		"no"		"2 you get it over the counter in a branch of your financial institution"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"(dk)"	"no"	"no"	"no"	"no"	"no"	"4 not at all possible"		"no"					"no"					"yes"	"yes"	"no"	"no"	"no"				"no"							"no"						"no"				"yes"	"no"
"Mexico"	"MEX"	195864159	0.286285095113012	"2 female"	"46"	"completed tertiary or more"	"4 fourth 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"							"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"(dk)"	"no"	"4 not at all possible"		"no"					"no"					"yes"	"yes"	"no"	"no"	"no"				"no"							"no"						"no"				"no"	"no"
"Mexico"	"MEX"	139533053	0.910680113500805	"2 female"	"58"	"completed primary or less"	"4 fourth 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"							"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"2 somewhat possible"	"1 savings"	"no"					"no"					"no"				"no"				"no"							"no"						"(dk)"				"no"	"no"
"Mexico"	"MEX"	114281859	0.538189823634152	"1 male"	"66"	"completed primary or less"	"5 richest 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"							"no"	"(dk)"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"3 not very possible"	"2 family, relatives, or friends"	"no"					"no"					"yes"	"yes"	"no"	"no"	"no"				"yes"	"no"	"no"	"no"	"no"			"no"						"no"				"no"	"no"
"Mexico"	"MEX"	127308267	0.743578535293803	"1 male"	"20"	"completed tertiary or more"	"4 fourth 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"(dk)"	"no"	"no"	"no"	"no"	"yes"	"no"							"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"2 somewhat possible"	"1 savings"	"no"					"no"					"no"				"no"				"no"							"no"						"no"				"no"	"no"
"Mexico"	"MEX"	166827729	2.77094265303367	"2 female"	"23"	"completed primary or less"	"4 fourth 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"							"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"3 not very possible"	"7 (dk)"	"(dk)"					"no"					"no"				"no"				"no"							"no"						"no"				"no"	"no"
"Mexico"	"MEX"	127034409	0.286285095113012	"1 male"	"35"	"secondary"	"5 richest 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"							"no"	"yes"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"2 somewhat possible"	"7 (dk)"	"no"					"no"					"yes"	"yes"	"no"	"no"	"no"				"no"							"no"						"no"				"yes"	"no"
"Mexico"	"MEX"	169476126	1.10081235398855	"2 female"	"15"	"secondary"	"4 fourth 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	"yes"	"no"							"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"3 not very possible"	"2 family, relatives, or friends"	"no"					"no"					"no"				"yes"	"yes"	"no"	"no"	"no"							"no"						"no"				"no"	"no"
"Mexico"	"MEX"	174678305	0.863776487482915	"2 female"	"41"	"secondary"	"2 second 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"yes"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"							"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"4 not at all possible"		"no"					"no"					"yes"	"yes"	"no"	"no"	"no"				"no"							"no"						"no"				"no"	"no"
"Mexico"	"MEX"	178246886	1.10081235398855	"2 female"	"22"	"secondary"	"5 richest 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"no"											"no"		"yes"	"2 three or more times per month"	"1 you get it at an atm"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"2 somewhat possible"	"6 some other source"	"no"					"no"					"yes"	"yes"	"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"			"no"						"no"				"yes"	"no"
"Mexico"	"MEX"	124150985	0.510470920102448	"1 male"	"35"	"secondary"	"5 richest 20%"	"yes"	"yes"	"no"	"no"			"yes"	"yes"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"yes"							"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"2 somewhat possible"	"1 savings"	"no"					"no"					"yes"	"yes"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"							"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	191236865	0.999605385409363	"2 female"	"20"	"secondary"	"5 richest 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"							"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"1 very possible"	"3 money from working or a loan from an employer"	"no"					"no"					"no"				"no"				"yes"	"no"	"yes"	"no"	"no"			"yes"	"yes"	"no"	"no"			"no"				"yes"	"no"
"Mexico"	"MEX"	116914818	0.628383983772919	"1 male"	"25"	"secondary"	"5 richest 20%"	"yes"	"yes"	"no"	"no"			"no"		"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"							"no"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"3 not very possible"	"3 money from working or a loan from an employer"	"no"					"no"					"yes"	"yes"	"no"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"no"			"no"						"no"				"yes"	"no"
"Mexico"	"MEX"	189278106	0.455340056750402	"2 female"	"75"	"completed primary or less"	"5 richest 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"no"	"no"											"yes"	"3 money is not deposited in a typical month"	"yes"	"1 one or two times per month"	"2 you get it over the counter in a branch of your financial institution"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"4 not at all possible"		"no"					"no"					"yes"	"yes"	"no"	"no"	"no"				"no"							"yes"	"no"	"yes"	"no"	"1 all of the money right away"	"3 this was your first account, and it was opened so you could receive payments from the government."	"no"				"yes"	"no"
"Mexico"	"MEX"	116124134	0.695308531441027	"1 male"	"41"	"secondary"	"5 richest 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"no"	"yes"	"no"										"yes"	"1 one or two times per month"	"yes"	"2 three or more times per month"	"2 you get it over the counter in a branch of your financial institution"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"2 somewhat possible"	"2 family, relatives, or friends"	"yes"	"yes"	"no"	"no"	"no"	"no"					"yes"	"yes"	"no"	"no"	"no"				"yes"	"no"	"yes"	"no"	"no"			"no"						"no"				"no"	"yes"
"Mexico"	"MEX"	122086022	0.787656665389181	"1 male"	"24"	"secondary"	"4 fourth 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"no"											"no"		"yes"	"4 (dk)"	"1 you get it at an atm"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"2 somewhat possible"	"1 savings"	"yes"	"no"	"no"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"			"no"						"no"				"no"	"yes"
"Mexico"	"MEX"	112851732	0.286285095113012	"1 male"	"37"	"secondary"	"5 richest 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"no"											"yes"	"1 one or two times per month"	"no"		"1 you get it at an atm"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"1 very possible"	"1 savings"	"no"					"no"					"yes"	"yes"	"no"	"no"	"no"				"yes"	"no"	"yes"	"no"	"no"			"no"						"no"				"yes"	"no"
"Mexico"	"MEX"	161904192	0.392181113134058	"2 female"	"37"	"secondary"	"4 fourth 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"							"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"3 not very possible"	"3 money from working or a loan from an employer"	"no"					"no"					"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"no"							"no"						"no"				"no"	"no"
"Mexico"	"MEX"	136938792	0.286285095113012	"2 female"	"41"	"secondary"	"1 poorest 20%"	"yes"	"yes"	"no"	"no"			"yes"	"(dk)"	"(dk)"	"no"	"yes"	"(dk)"	"yes"	"no"	"yes"	"no"	"no"							"no"	"yes"	"(dk)"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"(dk)"	"yes"	"yes"	"no"	"no"	"3 not very possible"	"1 savings"	"no"					"(dk)"					"no"				"yes"	"no"	"yes"	"(ref)"	"no"							"yes"	"yes"	"yes"	"no"	"2 over time as needed"	"2 you had an account before, but this account was opened so you could receive payments from the government."	"no"				"yes"	"yes"
"Mexico"	"MEX"	129021130	1.10531406616058	"2 female"	"25"	"completed primary or less"	"2 second 20%"	"yes"	"yes"	"no"	"(ref)"			"no"		"no"	"(ref)"	"no"	"(dk)"	"(dk)"	"yes"	"yes"	"(ref)"	"yes"							"no"	"yes"	"(ref)"	"yes"	"no"	"yes"	"(ref)"	"no"	"(dk)"	"no"	"yes"	"no"	"(ref)"	"yes"	"1 very possible"	"2 family, relatives, or friends"	"yes"	"yes"	"(dk)"	"yes"	"no"	"(dk)"					"no"				"yes"	"no"	"yes"	"no"	"(dk)"							"no"						"(ref)"				"yes"	"yes"
"Mexico"	"MEX"	130398868	0.501897895941544	"2 female"	"26"	"completed tertiary or more"	"1 poorest 20%"	"yes"	"yes"	"yes"	"no"			"no"											"no"		"yes"	"2 three or more times per month"	"3 you get it from a [insert local terminology for bank agent] who works at a store or comes to your home"	"yes"	"yes"	"yes"	"no"	"no"	"no"	"no"	"no"	"yes"	"(ref)"	"(ref)"	"(dk)"	"yes"	"no"	"(dk)"	"4 not at all possible"		"no"					"no"					"yes"	"yes"	"(dk)"	"no"	"no"				"yes"	"(dk)"	"yes"	"yes"	"(dk)"	"3 (dk)"	"3 this was your first account, and it was opened so you could receive payments from an employer."	"yes"	"yes"	"no"	"no"			"yes"	"yes"	"(dk)"	"yes"	"yes"	"yes"
"Mexico"	"MEX"	123783238	0.292738737058735	"2 female"	"28"	"secondary"	"5 richest 20%"	"yes"	"yes"	"no"	"(dk)"			"yes"	"no"										"no"		"no"		"2 you get it over the counter in a branch of your financial institution"	"no"	"yes"	"yes"	"no"	"yes"	"(dk)"	"yes"	"(ref)"	"no"	"(dk)"	"no"	"yes"	"no"	"(dk)"	"(dk)"	"2 somewhat possible"	"4 a credit card or borrowing from a formal financial institution"	"no"					"yes"	"yes"	"no"	"(ref)"	"no"	"(dk)"				"yes"	"(dk)"	"no"	"(ref)"	"no"							"yes"	"no"	"no"	"no"			"(dk)"				"yes"	"yes"
"Mexico"	"MEX"	203713727	2.21062813232116	"2 female"	"30"	"completed primary or less"	"2 second 20%"	"yes"	"yes"	"no"	"no"			"(dk)"		"no"	"yes"	"(dk)"	"no"	"yes"	"(dk)"	"no"	"(dk)"	"(ref)"							"no"	"no"	"yes"	"(dk)"	"no"	"yes"	"no"	"yes"	"(dk)"	"no"	"yes"	"yes"	"no"	"no"	"1 very possible"	"4 a credit card or borrowing from a formal financial institution"	"yes"	"no"	"(dk)"	"yes"	"no"	"(dk)"					"no"				"yes"	"no"	"yes"	"(dk)"	"yes"	"no"	"no"	"no"	"no"			"yes"	"yes"	"yes"	"(dk)"	"2 over time as needed"	"1 you had this account before you began receiving payments from the government."	"no"				"yes"	"yes"
"Mexico"	"MEX"	130482089	0.286285095113012	"2 female"	"39"	"secondary"	"4 fourth 20%"	"no"	"no"	"no"	"no"			"no"		"yes"	"(ref)"	"(dk)"	"(dk)"	"(dk)"	"yes"	"(ref)"	"(ref)"	"(dk)"							"no"	"yes"	"(dk)"	"yes"	"no"	"yes"	"(dk)"	"no"	"yes"	"(ref)"	"no"	"no"	"yes"	"no"	"3 not very possible"	"2 family, relatives, or friends"	"(dk)"					"no"					"no"				"no"				"no"							"(dk)"						"no"				"yes"	"yes"
"Mexico"	"MEX"	159975131	2.86285095113012	"1 male"	"24"	"completed primary or less"	"2 second 20%"	"yes"	"no"	"yes"	"no"			"yes"	"(ref)"	"yes"	"no"	"(ref)"	"no"	"(dk)"	"yes"	"no"	"(ref)"	"(ref)"							"yes"	"no"	"yes"	"(ref)"	"yes"	"(dk)"	"no"	"no"	"no"	"(ref)"	"yes"	"(dk)"	"yes"	"(ref)"	"3 not very possible"	"1 savings"	"(dk)"					"no"					"no"				"yes"	"no"	"no"	"yes"	"(dk)"							"yes"	"(dk)"	"no"	"yes"	"4 (refused)"	"2 you had an account before, but this account was opened so you could receive payments from the government."	"no"				"yes"	"yes"
"Mexico"	"MEX"	128034448	0.963710327550469	"1 male"	"36"	"completed primary or less"	"3 middle 20%"	"yes"	"yes"	"no"	"yes"	"no"	"yes"	"no"											"yes"	"3 money is not deposited in a typical month"	"yes"	"1 one or two times per month"	"3 you get it from a [insert local terminology for bank agent] who works at a store or comes to your home"	"yes"	"no"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"(dk)"	"(dk)"	"no"	"yes"	"(dk)"	"yes"	"1 very possible"	"5 (a/an [insert local terminology for private lenders (i.e., loan shark or pawn shop)])"	"yes"	"no"	"yes"	"(ref)"	"yes"	"yes"	"(dk)"	"no"	"yes"	"no"	"yes"	"(dk)"	"yes"	"no"	"no"				"no"							"yes"	"(dk)"	"yes"	"no"	"2 over time as needed"	"2 you had an account before, but this account was opened so you could receive payments from the government."	"(ref)"				"yes"	"yes"
"Mexico"	"MEX"	199140090	0.286285095113012	"1 male"	"42"	"secondary"	"5 richest 20%"	"yes"	"yes"	"no"	"no"			"(dk)"											"(dk)"		"yes"	"2 three or more times per month"	"2 you get it over the counter in a branch of your financial institution"	"yes"	"yes"	"yes"	"(dk)"	"yes"	"(dk)"	"yes"	"no"	"(dk)"	"no"	"(ref)"	"no"	"yes"	"(dk)"	"yes"	"1 very possible"	"4 a credit card or borrowing from a formal financial institution"	"yes"	"yes"	"yes"	"(ref)"	"no"	"no"					"(dk)"				"yes"	"yes"	"yes"	"(ref)"	"yes"	"(ref)"	"yes"	"yes"	"(dk)"	"3 (dk)"	"2 you had an account before, but this account was opened so you could receive payments from an employer."	"(dk)"						"no"				"yes"	"yes"
"Mexico"	"MEX"	185965835	0.815355281663735	"2 female"	"40"	"completed primary or less"	"3 middle 20%"	"yes"	"yes"	"no"	"no"			"yes"	"no"	"yes"	"no"	"no"	"(ref)"	"yes"	"yes"	"(dk)"	"(dk)"	"no"							"no"	"no"	"(ref)"	"yes"	"(ref)"	"yes"	"no"	"(ref)"	"no"	"no"	"no"	"no"	"(dk)"	"yes"	"1 very possible"	"4 a credit card or borrowing from a formal financial institution"	"yes"	"yes"	"(ref)"	"no"	"(dk)"	"(dk)"					"yes"	"yes"	"no"	"(dk)"	"(dk)"				"no"							"yes"	"yes"	"yes"	"(dk)"	"3 (dk)"	"2 you had an account before, but this account was opened so you could receive payments from the government."	"(ref)"				"yes"	"yes"
"Mexico"	"MEX"	164755838	0.286285095113012	"1 male"	"37"	"secondary"	"4 fourth 20%"	"yes"	"yes"	"yes"	"no"			"yes"	"(ref)"	"no"	"(dk)"	"yes"	"(ref)"	"(ref)"	"(ref)"	"yes"	"(ref)"	"(ref)"							"(dk)"	"yes"	"(dk)"	"no"	"no"	"yes"	"no"	"no"	"yes"	"(ref)"	"no"	"yes"	"yes"	"(ref)"	"1 very possible"	"4 a credit card or borrowing from a formal financial institution"	"(dk)"					"no"					"(ref)"				"yes"	"yes"	"(dk)"	"no"	"yes"	"(ref)"	"no"	"no"	"yes"	"2 over time as needed"	"3 this was your first account, and it was opened so you could receive payments from an employer."	"yes"	"no"	"yes"	"(dk)"	"2 over time as needed"	"1 you had this account before you began receiving payments from the government."	"(dk)"				"yes"	"yes"
"Mexico"	"MEX"	143822416	0.286285095113012	"2 female"	"41"	"secondary"	"3 middle 20%"	"yes"	"yes"	"yes"	"yes"	"(ref)"	"no"	"yes"	"(ref)"	"(dk)"	"no"	"(dk)"	"(dk)"	"(dk)"	"(ref)"	"no"	"yes"	"no"							"yes"	"no"	"yes"	"no"	"yes"	"no"	"no"	"no"	"(dk)"	"yes"	"no"	"(dk)"	"no"	"(ref)"	"1 very possible"	"4 a credit card or borrowing from a formal financial institution"	"yes"	"no"	"yes"	"(dk)"	"(dk)"	"no"					"(ref)"				"no"				"yes"	"(dk)"	"no"	"yes"	"yes"	"3 (dk)"	"2 you had an account before, but this account was opened so you could receive payments from an employer."	"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	194072716	1.10531406616058	"2 female"	"29"	"completed primary or less"	"1 poorest 20%"	"no"	"no"	"no"	"yes"	"(dk)"	"yes"	"no"		"yes"	"(ref)"	"yes"	"(ref)"	"(dk)"	"no"	"(ref)"	"no"	"(dk)"							"no"	"(dk)"	"no"	"yes"	"(dk)"	"yes"	"no"	"(dk)"	"(ref)"	"yes"	"(dk)"	"(dk)"	"(ref)"	"yes"	"2 somewhat possible"	"1 savings"	"yes"	"(dk)"	"(ref)"	"yes"	"yes"	"no"					"no"				"(dk)"				"(dk)"							"(ref)"						"(dk)"				"yes"	"yes"
"Mexico"	"MEX"	183320726	0.292738737058735	"2 female"	"32"	"secondary"	"2 second 20%"	"yes"	"yes"	"no"	"no"			"no"		"yes"	"yes"	"(dk)"	"yes"	"(ref)"	"no"	"yes"	"no"	"(ref)"							"yes"	"no"	"(dk)"	"yes"	"yes"	"(dk)"	"no"	"(dk)"	"yes"	"(ref)"	"no"	"no"	"yes"	"(dk)"	"3 not very possible"	"2 family, relatives, or friends"	"yes"	"(dk)"	"no"	"(ref)"	"yes"	"(dk)"					"no"				"(dk)"				"no"							"yes"	"no"	"yes"	"(dk)"	"2 over time as needed"	"2 you had an account before, but this account was opened so you could receive payments from the government."	"no"				"yes"	"yes"
"Mexico"	"MEX"	177209430	1.10531406616058	"2 female"	"28"	"completed primary or less"	"3 middle 20%"	"yes"	"yes"	"no"	"no"			"no"											"no"		"yes"	"1 one or two times per month"	"3 you get it from a [insert local terminology for bank agent] who works at a store or comes to your home"	"(dk)"	"no"	"no"	"(dk)"	"yes"	"(ref)"	"no"	"yes"	"(dk)"	"(ref)"	"yes"	"no"	"yes"	"(dk)"	"yes"	"3 not very possible"	"3 money from working or a loan from an employer"	"no"					"no"					"(dk)"				"no"				"(dk)"							"yes"	"(dk)"	"yes"	"no"	"4 (refused)"	"1 you had this account before you began receiving payments from the government."	"(dk)"				"yes"	"yes"
"Mexico"	"MEX"	119685222	0.286285095113012	"2 female"	"40"	"secondary"	"3 middle 20%"	"yes"	"yes"	"no"	"(dk)"			"(dk)"		"(dk)"	"(dk)"	"(ref)"	"no"	"(ref)"	"yes"	"yes"	"(dk)"	"no"							"(ref)"	"no"	"no"	"(dk)"	"yes"	"(dk)"	"(dk)"	"no"	"no"	"(ref)"	"(dk)"	"no"	"(dk)"	"yes"	"3 not very possible"	"2 family, relatives, or friends"	"no"					"(dk)"					"(dk)"				"(ref)"				"yes"	"(ref)"	"no"	"yes"	"(dk)"	"2 over time as needed"	"3 this was your first account, and it was opened so you could receive payments from an employer."	"no"						"(dk)"				"yes"	"yes"
"Mexico"	"MEX"	199644135	0.314191991886459	"1 male"	"31"	"secondary"	"5 richest 20%"	"no"	"no"	"no"	"no"			"no"		"(dk)"	"(ref)"	"no"	"(dk)"	"(dk)"	"yes"	"(ref)"	"(ref)"	"no"							"(dk)"	"yes"	"yes"	"no"	"(dk)"	"no"	"(dk)"	"no"	"yes"	"no"	"(ref)"	"yes"	"yes"	"no"	"2 somewhat possible"	"2 family, relatives, or friends"	"(ref)"					"no"					"(ref)"				"no"				"yes"	"(ref)"	"no"	"no"	"(dk)"			"(ref)"						"(dk)"				"yes"	"yes"
"Mexico"	"MEX"	137772232	0.314191991886459	"1 male"	"33"	"secondary"	"2 second 20%"	"no"	"no"	"no"	"yes"	"(dk)"	"(dk)"	"yes"	"no"	"(dk)"	"(ref)"	"(ref)"	"yes"	"no"	"(ref)"	"no"	"(dk)"	"no"							"(ref)"	"yes"	"(dk)"	"yes"	"no"	"yes"	"(dk)"	"no"	"(ref)"	"no"	"(ref)"	"yes"	"no"	"yes"	"2 somewhat possible"	"1 savings"	"(dk)"					"(ref)"					"no"				"(ref)"				"(dk)"							"(dk)"						"(ref)"				"yes"	"yes"
"Mexico"	"MEX"	177290004	0.963710327550469	"1 male"	"43"	"completed primary or less"	"4 fourth 20%"	"yes"	"yes"	"no"	"no"			"(dk)"		"no"	"(ref)"	"(dk)"	"(ref)"	"(ref)"	"no"	"yes"	"yes"	"(dk)"							"yes"	"no"	"(dk)"	"yes"	"yes"	"(dk)"	"yes"	"yes"	"(dk)"	"no"	"no"	"no"	"(ref)"	"(ref)"	"3 not very possible"	"5 (a/an [insert local terminology for private lenders (i.e., loan shark or pawn shop)])"	"yes"	"yes"	"(ref)"	"(ref)"	"yes"	"(dk)"					"(dk)"				"yes"	"no"	"yes"	"(dk)"	"no"							"no"						"(dk)"				"yes"	"yes"
"Mexico"	"MEX"	165191975	1.63755979254204	"1 male"	"20"	"completed primary or less"	"4 fourth 20%"	"no"	"no"	"no"	"(ref)"			"(dk)"		"(ref)"	"(dk)"	"(ref)"	"no"	"(ref)"	"no"	"yes"	"(dk)"	"no"							"(ref)"	"yes"	"(dk)"	"yes"	"no"	"yes"	"(dk)"	"(dk)"	"no"	"(dk)"	"(ref)"	"yes"	"no"	"yes"	"2 somewhat possible"	"5 (a/an [insert local terminology for private lenders (i.e., loan shark or pawn shop)])"	"no"					"(dk)"					"(dk)"				"(dk)"				"yes"	"(ref)"	"yes"	"no"	"(dk)"			"no"						"(dk)"				"yes"	"yes"
"Mexico"	"MEX"	154252678	0.286285095113012	"2 female"	"42"	"secondary"	"4 fourth 20%"	"no"	"no"	"no"	"no"			"(ref)"		"yes"	"(dk)"	"(ref)"	"(ref)"	"yes"	"(ref)"	"no"	"(dk)"	"no"							"no"	"no"	"(ref)"	"(dk)"	"no"	"yes"	"no"	"(dk)"	"yes"	"(dk)"	"(dk)"	"yes"	"(dk)"	"(ref)"	"2 somewhat possible"	"5 (a/an [insert local terminology for private lenders (i.e., loan shark or pawn shop)])"	"no"					"(ref)"					"(ref)"				"(dk)"				"no"							"yes"	"no"	"no"	"no"			"no"				"yes"	"yes"
"Mexico"	"MEX"	140568850	0.292738737058735	"2 female"	"34"	"secondary"	"3 middle 20%"	"no"	"no"	"no"	"(ref)"			"no"		"yes"	"no"	"(dk)"	"no"	"(ref)"	"no"	"(ref)"	"(ref)"	"(dk)"							"(ref)"	"yes"	"(dk)"	"no"	"(ref)"	"yes"	"no"	"no"	"no"	"(dk)"	"no"	"(dk)"	"(dk)"	"yes"	"1 very possible"	"4 a credit card or borrowing from a formal financial institution"	"(ref)"					"yes"	"no"	"no"	"(ref)"	"no"	"(dk)"				"no"				"yes"	"(ref)"	"no"	"no"	"no"			"no"						"(dk)"				"yes"	"yes"
"Mexico"	"MEX"	178228175	0.286285095113012	"1 male"	"37"	"secondary"	"1 poorest 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"yes"	"yes"	"no"	"no"	"no"	"yes"	"no"							"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"3 not very possible"	"2 family, relatives, or friends"	"no"					"no"					"no"				"no"				"no"							"no"						"no"				"no"	"no"
"Mexico"	"MEX"	134479745	0.92707804192137	"1 male"	"36"	"secondary"	"1 poorest 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"no"	"yes"	"no"	"no"	"yes"	"yes"	"no"							"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"3 not very possible"	"2 family, relatives, or friends"	"no"					"no"					"no"				"no"				"no"							"no"						"no"				"yes"	"no"
"Mexico"	"MEX"	148258317	0.867404478425006	"1 male"	"24"	"secondary"	"2 second 20%"	"yes"	"yes"	"no"	"yes"	"no"	"no"	"no"											"no"		"yes"	"1 one or two times per month"	"3 you get it from a [insert local terminology for bank agent] who works at a store or comes to your home"	"(dk)"	"(dk)"	"yes"	"(dk)"	"no"	"yes"	"(dk)"	"yes"	"yes"	"no"	"(ref)"	"yes"	"no"	"(dk)"	"yes"	"2 somewhat possible"	"1 savings"	"(dk)"					"yes"	"no"	"yes"	"(dk)"	"(dk)"	"no"				"(ref)"				"no"							"no"						"(dk)"				"yes"	"yes"
"Mexico"	"MEX"	149681839	1.41037925186794	"1 male"	"50"	"completed primary or less"	"3 middle 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"no"	"no"											"yes"	"3 money is not deposited in a typical month"	"yes"	"1 one or two times per month"	"2 you get it over the counter in a branch of your financial institution"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"no"	"4 not at all possible"		"no"					"no"					"yes"	"yes"	"no"	"no"	"(ref)"				"yes"	"no"	"yes"	"no"	"no"			"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	159344317	1.46774980531807	"2 female"	"16"	"secondary"	"4 fourth 20%"	"no"	"no"	"no"	"no"			"no"		"yes"	"no"	"yes"	"no"	"no"	"yes"	"no"	"no"	"yes"							"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"(dk)"	"3 not very possible"	"2 family, relatives, or friends"	"no"					"no"					"no"				"no"				"no"							"no"						"no"				"no"	"no"
